Vardas                   Pavarde                  ND0        ND1        ND2        ND3        ND4        Egz.      
Vardas0                  Pavarde0                 7          6          10         7          7          10        
Vardas1                  Pavarde1                 10         9          9          7          7          10        
Vardas2                  Pavarde2                 6          8          4          9          8          10        
Vardas3                  Pavarde3                 10         10         8          4          4          10        
Vardas4                  Pavarde4                 6          4          6          7          8          10        
Vardas5                  Pavarde5                 8          8          5          7          4          10        
Vardas6                  Pavarde6                 10         5          4          10         9          10        
Vardas7                  Pavarde7                 8          5          4          4          5          10        
Vardas8                  Pavarde8                 7          5          7          5          8          10        
Vardas9                  Pavarde9                 9          7          10         9          8          10        
Vardas10                 Pavarde10                5          6          8          9          4          10        
Vardas11                 Pavarde11                4          6          6          7          7          10        
Vardas12                 Pavarde12                6          9          5          4          4          10        
Vardas13                 Pavarde13                6          4          8          8          7          10        
Vardas14                 Pavarde14                10         8          6          10         8          10        
Vardas15                 Pavarde15                10         4          9          4          5          10        
Vardas16                 Pavarde16                9          8          4          7          7          10        
Vardas17                 Pavarde17                9          4          6          5          10         10        
Vardas18                 Pavarde18                5          4          8          7          6          10        
Vardas19                 Pavarde19                7          4          7          4          4          10        
Vardas20                 Pavarde20                9          6          10         4          5          10        
Vardas21                 Pavarde21                8          10         8          5          7          10        
Vardas22                 Pavarde22                8          5          4          9          4          10        
Vardas23                 Pavarde23                7          4          6          7          7          10        
Vardas24                 Pavarde24                5          4          9          5          8          10        
Vardas25                 Pavarde25                8          5          7          5          8          10        
Vardas26                 Pavarde26                4          8          8          4          7          10        
Vardas27                 Pavarde27                4          9          8          5          7          10        
Vardas28                 Pavarde28                10         9          8          10         8          10        
Vardas29                 Pavarde29                10         7          9          7          10         10        
Vardas30                 Pavarde30                8          6          5          8          5          10        
Vardas31                 Pavarde31                7          5          5          7          7          10        
Vardas32                 Pavarde32                8          6          8          8          5          10        
Vardas33                 Pavarde33                6          5          5          10         7          10        
Vardas34                 Pavarde34                6          6          7          6          8          10        
Vardas35                 Pavarde35                8          6          5          7          10         10        
Vardas36                 Pavarde36                7          10         8          4          4          10        
Vardas37                 Pavarde37                9          8          8          9          5          10        
Vardas38                 Pavarde38                9          5          10         6          9          10        
Vardas39                 Pavarde39                6          4          9          9          7          10        
Vardas40                 Pavarde40                10         9          4          7          6          10        
Vardas41                 Pavarde41                7          4          4          6          9          10        
Vardas42                 Pavarde42                10         7          9          7          10         10        
Vardas43                 Pavarde43                7          10         5          9          5          10        
Vardas44                 Pavarde44                9          9          10         10         7          10        
Vardas45                 Pavarde45                4          10         5          9          6          10        
Vardas46                 Pavarde46                10         7          5          10         7          10        
Vardas47                 Pavarde47                10         8          7          4          7          10        
Vardas48                 Pavarde48                5          8          5          6          6          10        
Vardas49                 Pavarde49                6          7          4          7          8          10        
Vardas50                 Pavarde50                5          7          5          9          9          10        
Vardas51                 Pavarde51                9          8          9          10         10         10        
Vardas52                 Pavarde52                6          6          4          9          4          10        
Vardas53                 Pavarde53                7          10         10         5          4          10        
Vardas54                 Pavarde54                8          9          4          8          6          10        
Vardas55                 Pavarde55                5          8          10         10         9          10        
Vardas56                 Pavarde56                6          4          8          5          7          10        
Vardas57                 Pavarde57                5          4          9          7          8          10        
Vardas58                 Pavarde58                9          4          8          9          5          10        
Vardas59                 Pavarde59                10         10         9          7          5          10        
Vardas60                 Pavarde60                10         10         5          9          9          10        
Vardas61                 Pavarde61                7          10         4          10         10         10        
Vardas62                 Pavarde62                5          7          10         5          6          10        
Vardas63                 Pavarde63                7          5          6          4          6          10        
Vardas64                 Pavarde64                6          6          7          5          9          10        
Vardas65                 Pavarde65                4          4          8          6          8          10        
Vardas66                 Pavarde66                5          4          10         8          10         10        
Vardas67                 Pavarde67                9          10         6          8          9          10        
Vardas68                 Pavarde68                6          5          10         6          6          10        
Vardas69                 Pavarde69                9          10         10         7          6          10        
Vardas70                 Pavarde70                8          6          6          5          5          10        
Vardas71                 Pavarde71                4          10         9          5          7          10        
Vardas72                 Pavarde72                10         6          7          6          5          10        
Vardas73                 Pavarde73                8          5          10         9          9          10        
Vardas74                 Pavarde74                9          8          6          8          8          10        
Vardas75                 Pavarde75                10         7          6          9          9          10        
Vardas76                 Pavarde76                5          7          6          7          9          10        
Vardas77                 Pavarde77                10         6          10         4          4          10        
Vardas78                 Pavarde78                6          8          4          4          7          10        
Vardas79                 Pavarde79                8          5          9          6          4          10        
Vardas80                 Pavarde80                5          6          4          9          6          10        
Vardas81                 Pavarde81                6          6          8          10         9          10        
Vardas82                 Pavarde82                4          8          8          5          9          10        
Vardas83                 Pavarde83                4          9          6          8          9          10        
Vardas84                 Pavarde84                4          5          7          6          6          10        
Vardas85                 Pavarde85                9          9          4          9          6          10        
Vardas86                 Pavarde86                8          7          7          9          4          10        
Vardas87                 Pavarde87                8          6          9          4          6          10        
Vardas88                 Pavarde88                6          9          8          6          7          10        
Vardas89                 Pavarde89                7          8          10         7          5          10        
Vardas90                 Pavarde90                4          6          10         9          9          10        
Vardas91                 Pavarde91                4          4          7          7          7          10        
Vardas92                 Pavarde92                9          7          9          4          8          10        
Vardas93                 Pavarde93                6          8          7          8          9          10        
Vardas94                 Pavarde94                8          5          10         7          6          10        
Vardas95                 Pavarde95                6          10         7          6          8          10        
Vardas96                 Pavarde96                5          6          4          4          9          10        
Vardas97                 Pavarde97                8          9          10         9          4          10        
Vardas98                 Pavarde98                4          6          9          7          10         10        
Vardas99                 Pavarde99                8          9          5          8          4          10        
