Vardas                   Pavarde                  ND0        ND1        ND2        ND3        ND4        ND5        ND6        ND7        ND8        ND9        Egz.      
Vardas0                  Pavarde0                 9          5          6          9          6          4          7          6          4          10         10        
Vardas1                  Pavarde1                 6          9          4          4          5          4          4          4          6          9          10        
Vardas2                  Pavarde2                 4          8          10         4          5          9          7          6          6          9          10        
Vardas3                  Pavarde3                 4          7          4          7          6          5          10         7          9          7          10        
Vardas4                  Pavarde4                 8          7          5          7          10         8          5          4          5          4          10        
Vardas5                  Pavarde5                 10         6          10         5          4          10         9          8          8          10         10        
Vardas6                  Pavarde6                 9          4          10         8          5          7          6          6          4          8          10        
Vardas7                  Pavarde7                 10         7          8          7          5          4          5          9          7          8          10        
Vardas8                  Pavarde8                 10         9          4          10         9          9          7          10         7          9          10        
Vardas9                  Pavarde9                 10         4          7          4          9          6          7          8          6          9          10        
