Vardas                   Pavarde                  ND0        ND1        ND2        ND3        ND4        Egz.      
Vardas0                  Pavarde0                 7          2          1          10         8          10        
Vardas1                  Pavarde1                 4          2          2          9          8          8         
Vardas2                  Pavarde2                 7          7          10         5          6          3         
Vardas3                  Pavarde3                 2          2          5          9          7          3         
Vardas4                  Pavarde4                 10         1          3          9          8          3         
Vardas5                  Pavarde5                 4          8          10         4          8          8         
Vardas6                  Pavarde6                 8          9          3          4          8          2         
Vardas7                  Pavarde7                 6          4          10         10         2          7         
Vardas8                  Pavarde8                 4          7          7          7          3          7         
Vardas9                  Pavarde9                 1          5          5          7          6          7         
Vardas10                 Pavarde10                5          2          3          4          1          1         
Vardas11                 Pavarde11                9          1          1          5          7          5         
Vardas12                 Pavarde12                10         5          4          6          6          3         
Vardas13                 Pavarde13                5          5          7          9          9          7         
Vardas14                 Pavarde14                1          1          6          9          3          10        
Vardas15                 Pavarde15                8          2          10         4          5          4         
Vardas16                 Pavarde16                1          3          9          3          8          2         
Vardas17                 Pavarde17                5          9          7          8          10         2         
Vardas18                 Pavarde18                7          3          2          6          7          9         
Vardas19                 Pavarde19                5          10         1          4          4          6         
